,date,result,season
0,2021-10-19,L,21-22
1,2021-10-22,L,21-22
2,2021-10-24,W,21-22
3,2021-10-26,W,21-22
4,2021-10-27,L,21-22
5,2021-10-29,W,21-22
6,2021-10-31,W,21-22
7,2021-11-02,W,21-22
8,2021-11-04,L,21-22
9,2021-11-06,L,21-22
10,2021-11-08,W,21-22
11,2021-11-10,W,21-22
12,2021-11-12,L,21-22
13,2021-11-14,W,21-22
14,2021-11-15,L,21-22
15,2021-11-17,L,21-22
16,2021-11-19,L,21-22
17,2021-11-21,W,21-22
18,2021-11-23,L,21-22
19,2021-11-24,W,21-22
20,2021-11-26,L,21-22
21,2021-11-28,W,21-22
22,2021-11-30,W,21-22
23,2021-12-03,L,21-22
24,2021-12-07,W,21-22
25,2021-12-09,L,21-22
26,2021-12-10,W,21-22
27,2021-12-12,W,21-22
28,2021-12-15,W,21-22
29,2021-12-17,L,21-22
30,2021-12-19,L,21-22
31,2021-12-21,L,21-22
32,2021-12-23,L,21-22
33,2021-12-25,L,21-22
34,2021-12-28,W,21-22
35,2021-12-29,L,21-22
36,2021-12-31,W,21-22
37,2022-01-02,W,21-22
38,2022-01-04,W,21-22
39,2022-01-07,W,21-22
40,2022-01-09,L,21-22
41,2022-01-12,L,21-22
42,2022-01-15,L,21-22
43,2022-01-17,W,21-22
44,2022-01-19,L,21-22
45,2022-01-21,W,21-22
46,2022-01-23,L,21-22
47,2022-01-25,W,21-22
48,2022-01-27,L,21-22
49,2022-01-28,L,21-22
50,2022-01-30,L,21-22
51,2022-02-02,W,21-22
52,2022-02-03,L,21-22
53,2022-02-05,W,21-22
54,2022-02-08,L,21-22
55,2022-02-09,L,21-22
56,2022-02-12,L,21-22
57,2022-02-16,W,21-22
58,2022-02-25,L,21-22
59,2022-02-27,L,21-22
60,2022-03-01,L,21-22
61,2022-03-03,L,21-22
62,2022-03-05,W,21-22
63,2022-03-07,L,21-22
64,2022-03-09,L,21-22
65,2022-03-11,W,21-22
66,2022-03-13,L,21-22
67,2022-03-14,L,21-22
68,2022-03-16,L,21-22
69,2022-03-18,W,21-22
70,2022-03-19,L,21-22
71,2022-03-21,W,21-22
72,2022-03-23,L,21-22
73,2022-03-27,L,21-22
74,2022-03-29,L,21-22
75,2022-03-31,L,21-22
76,2022-04-01,L,21-22
77,2022-04-03,L,21-22
78,2022-04-05,L,21-22
79,2022-04-07,L,21-22
80,2022-04-08,W,21-22
81,2022-04-10,W,21-22
82,2022-10-18,L,22-23
83,2022-10-20,L,22-23
84,2022-10-23,L,22-23
85,2022-10-26,L,22-23
86,2022-10-28,L,22-23
87,2022-10-30,W,22-23
88,2022-11-02,W,22-23
89,2022-11-04,L,22-23
90,2022-11-06,L,22-23
91,2022-11-07,L,22-23
92,2022-11-09,L,22-23
93,2022-11-11,L,22-23
94,2022-11-13,W,22-23
95,2022-11-18,W,22-23
96,2022-11-20,W,22-23
97,2022-11-22,L,22-23
98,2022-11-25,W,22-23
99,2022-11-26,W,22-23
100,2022-11-28,L,22-23
101,2022-11-30,W,22-23
102,2022-12-02,W,22-23
103,2022-12-04,W,22-23
104,2022-12-06,L,22-23
105,2022-12-07,L,22-23
106,2022-12-09,L,22-23
107,2022-12-11,W,22-23
108,2022-12-13,L,22-23
109,2022-12-16,W,22-23
110,2022-12-18,W,22-23
111,2022-12-19,L,22-23
112,2022-12-21,L,22-23
113,2022-12-23,L,22-23
114,2022-12-25,L,22-23
115,2022-12-27,W,22-23
116,2022-12-28,L,22-23
117,2022-12-30,W,22-23
118,2023-01-02,W,22-23
119,2023-01-04,W,22-23
120,2023-01-06,W,22-23
121,2023-01-07,W,22-23
122,2023-01-09,L,22-23
123,2023-01-12,L,22-23
124,2023-01-15,L,22-23
125,2023-01-16,W,22-23
126,2023-01-18,L,22-23
127,2023-01-20,W,22-23
128,2023-01-22,W,22-23
129,2023-01-24,L,22-23
130,2023-01-25,W,22-23
131,2023-01-28,L,22-23
132,2023-01-30,L,22-23
133,2023-01-31,W,22-23
134,2023-02-02,W,22-23
135,2023-02-04,,22-23
136,2023-02-07,,22-23
137,2023-02-09,,22-23
138,2023-02-11,,22-23
139,2023-02-13,,22-23
140,2023-02-15,,22-23
141,2023-02-23,,22-23
142,2023-02-26,,22-23
143,2023-02-28,,22-23
144,2023-03-01,,22-23
145,2023-03-03,,22-23
146,2023-03-05,,22-23
147,2023-03-07,,22-23
148,2023-03-10,,22-23
149,2023-03-12,,22-23
150,2023-03-14,,22-23
151,2023-03-15,,22-23
152,2023-03-17,,22-23
153,2023-03-19,,22-23
154,2023-03-22,,22-23
155,2023-03-24,,22-23
156,2023-03-26,,22-23
157,2023-03-29,,22-23
158,2023-03-31,,22-23
159,2023-04-02,,22-23
160,2023-04-04,,22-23
161,2023-04-05,,22-23
162,2023-04-07,,22-23
163,2023-04-09,,22-23
